stream_code,career_outcome_code,relationship_type,version,source_document
HUM-STR-PHI-PHIL,CAR-HUM-PHI-PHIL-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PHI-RELISTUD,CAR-HUM-PHI-RELISTUD-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-EDU-CAREGUIDANDCOUN,CAR-HUM-EDU-CAREGUIDANDCOUN-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-EDU-CURRANDLEARDESI,CAR-HUM-EDU-CURRANDLEARDESI-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-EDU-EDUCCONTANDKNOW,CAR-HUM-EDU-EDUCCONTANDKNOW-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-EDU-HIGHEDUCANDACAD,CAR-HUM-EDU-HIGHEDUCANDACAD-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-EDU-INCLANDSPECEDUC,CAR-HUM-EDU-INCLANDSPECEDUC-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-EDU-LIFESKILFACI,CAR-HUM-EDU-LIFESKILFACI-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-EDU-MENTANDLEARSUPP,CAR-HUM-EDU-MENTANDLEARSUPP-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-EDU-SCHOTEAC,CAR-HUM-EDU-SCHOTEAC-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-ADVEANDCREACOPY,CAR-HUM-MED-ADVEANDCREACOPY-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
